Date,Close,Open,High,Low,Vol.,Change
09-02-2021,15109.3,15164.15,15257.1,15064.3,713.28,-0.04
10-02-2021,15106.5,15119.05,15168.25,14977.2,624.79,-0.02
11-02-2021,15173.3,15073.25,15188.5,15065.4,500.12,0.44
12-02-2021,15163.3,15186.2,15243.5,15081.0,571.81,-0.07
15-02-2021,15314.7,15270.3,15340.15,15243.4,455.96,1.0
16-02-2021,15313.45,15371.45,15431.75,15242.2,648.55,-0.01
17-02-2021,15208.9,15279.9,15314.3,15170.75,504.77,-0.68
18-02-2021,15118.95,15238.7,15250.75,15078.05,770.63,-0.59
19-02-2021,14981.75,15074.8,15144.05,14898.2,712.21,-0.91
22-02-2021,14675.7,14999.05,15010.1,14635.05,609.9,-2.04
23-02-2021,14707.8,14782.25,14854.5,14651.85,744.09,0.22
24-02-2021,14982.0,14729.15,15008.8,14723.05,403.75,1.86
25-02-2021,15097.35,15079.85,15176.5,15065.35,803.88,0.77
26-02-2021,14529.15,14888.6,14919.45,14467.75,,-3.76
01-03-2021,14761.55,14702.5,14806.8,14638.55,507.3,1.6
02-03-2021,14919.1,14865.3,14959.1,14760.8,621.72,1.07
03-03-2021,15245.6,15064.4,15273.15,14995.8,544.21,2.19
04-03-2021,15080.75,15026.75,15202.35,14980.2,534.85,-1.08
05-03-2021,14938.1,14977.95,15092.35,14862.1,640.7,-0.95
08-03-2021,14956.2,15002.45,15111.15,14919.9,580.31,0.12
09-03-2021,15098.4,15049.9,15126.85,14925.45,675.27,0.95
10-03-2021,15174.8,15202.15,15218.45,15100.85,404.59,0.51
12-03-2021,15030.95,15321.15,15336.3,14953.6,493.24,-0.95
15-03-2021,14929.5,15048.4,15048.4,14745.85,467.47,-0.67
16-03-2021,14910.45,14996.1,15051.6,14890.65,437.65,-0.13
17-03-2021,14721.3,14946.55,14956.55,14696.05,479.35,-1.27
18-03-2021,14557.85,14855.5,14875.2,14478.6,542.22,-1.11
19-03-2021,14744.0,14471.15,14788.25,14350.1,919.18,1.28
22-03-2021,14736.4,14736.3,14763.9,14597.85,459.0,-0.05
23-03-2021,14814.75,14768.55,14878.6,14707.0,474.15,0.53
24-03-2021,14549.4,14712.45,14752.35,14535.0,456.4,-1.79
25-03-2021,14324.9,14570.9,14575.6,14264.4,606.82,-1.54
26-03-2021,14507.3,14506.3,14572.9,14414.25,481.0,1.27
30-03-2021,14845.1,14628.5,14876.3,14617.6,594.52,2.33
31-03-2021,14690.7,14811.85,14813.75,14670.25,436.87,-1.04
01-04-2021,14867.35,14798.4,14883.2,14692.45,430.03,1.2
05-04-2021,14637.8,14837.7,14849.85,14459.5,500.48,-1.54
06-04-2021,14683.5,14737.0,14779.1,14573.9,474.21,0.31
07-04-2021,14819.05,14716.45,14879.8,14649.85,476.38,0.92
08-04-2021,14873.8,14875.65,14984.15,14821.1,503.73,0.37
